Date,Time,Track,Distance,Trap,Dog,Grade,Type,Stake,OpenPrice,ClosePrice,Returns,Result,Bookmaker,Reason,Notes
2026-05-18,11:09,Romford,400yds,3,Largeandincharge,,Win,0.10,4.00,10.00,0.40,win,Paddy Power,oddschecker,
2026-05-18,11:27,Romford,400yds,3,Bedrock Bobby,,Win,0.10,3.00,2.75,0.00,loss,Paddy Power,oddschecker,
2026-05-18,12:18,Romford,400yds,4,Droopys Ma,,Win,0.17,5.00,4.50,0.00,loss,Paddy Power,oddschecker,
2026-05-18,11:43,Romford,400yds,3,Velvet Murillo,,Win,0.10,4.00,3.25,0.00,loss,Paddy Power,oddschecker,
2026-05-18,12:09,Dunstall Park,480yds,1,Mohican Mia,,Win,0.10,3.00,3.00,0.00,loss,Paddy Power,oddschecker,
2026-05-18,12:12,Harlow,238m,5,Limestone Gal,D3,Win,0.10,4.00,3.75,0.00,loss,Paddy Power,oddschecker,
2026-05-18,12:34,Romford,400yds,1,Toems Jess,,Win,0.10,3.00,2.10,0.00,loss,Paddy Power,oddschecker,
2026-05-18,14:44,Doncaster,450m,4,Cushie Mick,B1,Win,0.10,1.67,1.57,0.27,win,Paddy Power,oddschecker,
2026-05-18,15:01,Monmore,480yds,2,Drive on Shelby,,Win,0.10,3.00,3.25,0.00,loss,Paddy Power,oddschecker,
2026-05-18,15:41,Doncaster,483m,1,Droopys Trendy,A3,Win,0.10,3.00,2.25,0.00,loss,Paddy Power,oddschecker,
